co_fips,co_name,state,mcode,mname,inflow2011_12,outflow2011_12,netflow2011_12,inflow2012_13,outflow2012_13,netflow2012_13,inflow2013_14,outflow2013_14,netflow2013_14,inflow2014_15,outflow2014_15,netflow2014_15,inflow2015_16,outflow2015_16,netflow2015_16,inflow2016_17,outflow2016_17,netflow2016_17,inflow2017_18,outflow2017_18,netflow2017_18,tot_inflow,tot_outflow,tot_netflow
34019,"Hunterdon County, NJ",NJ,35620,"New York-Newark-Jersey City, NY-NJ-PA",115,179,-64,164,204,-40,116,114,2,110,40,70,89,138,-49,134,231,-97,141,189,-48,869,1095,-226
51041,"Chesterfield County, VA",VA,40060,"Richmond, VA",113,193,-80,152,233,-81,38,240,-202,125,97,28,45,233,-188,42,302,-260,42,228,-186,557,1526,-969
36039,"Greene County, NY",NY,0,non-metro,113,220,-107,120,156,-36,107,171,-64,97,153,-56,42,166,-124,39,303,-264,145,216,-71,663,1385,-722
37135,"Orange County, NC",NC,20500,"Durham-Chapel Hill, NC",112,127,-15,112,163,-51,90,125,-35,76,63,13,131,134,-3,122,246,-124,108,126,-18,751,984,-233
06111,"Ventura County, CA",CA,37100,"Oxnard-Thousand Oaks-Ventura, CA",112,136,-24,131,142,-11,106,143,-37,100,93,7,100,146,-46,142,211,-69,122,152,-30,813,1023,-210
29095,"Jackson County, MO",MO,28140,"Kansas City, MO-KS",112,191,-79,155,183,-28,107,92,15,74,72,2,137,145,-8,173,192,-19,109,98,11,867,973,-106
06083,"Santa Barbara County, CA",CA,42200,"Santa Maria-Santa Barbara, CA",112,119,-7,105,109,-4,51,97,-46,70,105,-35,79,89,-10,112,155,-43,79,117,-38,608,791,-183
37067,"Forsyth County, NC",NC,49180,"Winston-Salem, NC",110,166,-56,151,192,-41,95,165,-70,84,130,-46,74,173,-99,100,223,-123,106,237,-131,720,1286,-566
20091,"Johnson County, KS",KS,28140,"Kansas City, MO-KS",110,134,-24,99,171,-72,81,137,-56,57,40,17,97,137,-40,120,174,-54,85,159,-74,649,952,-303
12053,"Hernando County, FL",FL,45300,"Tampa-St. Petersburg-Clearwater, FL",108,177,-69,76,189,-113,0,124,-124,0,46,-46,0,152,-152,0,239,-239,0,203,-203,184,1130,-946
35001,"Bernalillo County, NM",NM,10740,"Albuquerque, NM",107,89,18,86,140,-54,107,79,28,67,0,67,56,88,-32,76,136,-60,70,100,-30,569,632,-63
13151,"Henry County, GA",GA,12060,"Atlanta-Sandy Springs-Alpharetta, GA",105,305,-200,92,244,-152,38,161,-123,0,197,-197,0,306,-306,43,423,-380,0,315,-315,278,1951,-1673
24025,"Harford County, MD",MD,12580,"Baltimore-Columbia-Towson, MD",105,103,2,68,94,-26,73,42,31,60,88,-28,0,0,0,0,143,-143,0,154,-154,306,624,-318
08041,"El Paso County, CO",CO,17820,"Colorado Springs, CO",104,191,-87,152,171,-19,74,138,-64,67,149,-82,26,139,-113,147,200,-53,92,150,-58,662,1138,-476
45051,"Horry County, SC",SC,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",103,214,-111,88,198,-110,40,122,-82,0,88,-88,39,109,-70,50,368,-318,28,214,-186,348,1313,-965
12073,"Leon County, FL",FL,45220,"Tallahassee, FL",101,143,-42,171,53,118,62,35,27,65,0,65,75,39,36,97,73,24,73,53,20,644,396,248
13247,"Rockdale County, GA",GA,12060,"Atlanta-Sandy Springs-Alpharetta, GA",99,124,-25,63,136,-73,0,113,-113,0,64,-64,0,135,-135,0,195,-195,0,99,-99,162,866,-704
34015,"Gloucester County, NJ",NJ,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",95,93,2,76,123,-47,61,64,-3,33,0,33,97,0,97,26,130,-104,0,137,-137,388,547,-159
51540,"Charlottesville city, VA",VA,16820,"Charlottesville, VA",94,66,28,95,66,29,65,33,32,24,31,-7,74,56,18,139,133,6,105,72,33,596,457,139
33009,"Grafton County, NH",NH,30100,"Lebanon, NH-VT",91,55,36,79,73,6,68,44,24,42,0,42,63,38,25,105,103,2,52,73,-21,500,386,114
34011,"Cumberland County, NJ",NJ,47220,"Vineland-Bridgeton, NJ",89,135,-46,39,109,-70,0,0,0,0,0,0,0,0,0,0,44,-44,0,42,-42,128,330,-202
40109,"Oklahoma County, OK",OK,36420,"Oklahoma City, OK",88,199,-111,90,94,-4,58,130,-72,36,42,-6,75,88,-13,162,70,92,85,69,16,594,692,-98
26081,"Kent County, MI",MI,24340,"Grand Rapids-Kentwood, MI",88,137,-49,64,158,-94,86,87,-1,30,0,30,63,38,25,73,165,-92,72,124,-52,476,709,-233
42075,"Lebanon County, PA",PA,30140,"Lebanon, PA",86,178,-92,60,212,-152,0,115,-115,0,55,-55,0,114,-114,0,144,-144,0,104,-104,146,922,-776
42027,"Centre County, PA",PA,44300,"State College, PA",86,61,25,62,50,12,29,0,29,23,23,0,56,33,23,136,71,65,55,34,21,447,272,175
51003,"Albemarle County, VA",VA,16820,"Charlottesville, VA",85,85,0,82,88,-6,59,43,16,0,0,0,91,63,28,138,131,7,54,56,-2,509,466,43
40143,"Tulsa County, OK",OK,46140,"Tulsa, OK",83,75,8,68,85,-17,35,30,5,31,40,-9,60,0,60,55,83,-28,74,38,36,406,351,55
