ccode,cname,mcode,mname,mtype
54049,"Marion County, WV",21900,"Fairmont, WV",Micropolitan Statistical Area
54051,"Marshall County, WV",48540,"Wheeling, WV-OH",Metropolitan Statistical Area
54053,"Mason County, WV",38580,"Point Pleasant, WV-OH",Micropolitan Statistical Area
54055,"Mercer County, WV",14140,"Bluefield, WV-VA",Micropolitan Statistical Area
54057,"Mineral County, WV",19060,"Cumberland, MD-WV",Metropolitan Statistical Area
54061,"Monongalia County, WV",34060,"Morgantown, WV",Metropolitan Statistical Area
54065,"Morgan County, WV",25180,"Hagerstown-Martinsburg, MD-WV",Metropolitan Statistical Area
54069,"Ohio County, WV",48540,"Wheeling, WV-OH",Metropolitan Statistical Area
54077,"Preston County, WV",34060,"Morgantown, WV",Metropolitan Statistical Area
54079,"Putnam County, WV",26580,"Huntington-Ashland, WV-KY-OH",Metropolitan Statistical Area
54081,"Raleigh County, WV",13220,"Beckley, WV",Metropolitan Statistical Area
54083,"Randolph County, WV",21180,"Elkins, WV",Micropolitan Statistical Area
54091,"Taylor County, WV",17220,"Clarksburg, WV",Micropolitan Statistical Area
54099,"Wayne County, WV",26580,"Huntington-Ashland, WV-KY-OH",Metropolitan Statistical Area
54105,"Wirt County, WV",37620,"Parkersburg-Vienna, WV",Metropolitan Statistical Area
54107,"Wood County, WV",37620,"Parkersburg-Vienna, WV",Metropolitan Statistical Area
55009,"Brown County, WI",24580,"Green Bay, WI",Metropolitan Statistical Area
55015,"Calumet County, WI",11540,"Appleton, WI",Metropolitan Statistical Area
55017,"Chippewa County, WI",20740,"Eau Claire, WI",Metropolitan Statistical Area
55021,"Columbia County, WI",31540,"Madison, WI",Metropolitan Statistical Area
55025,"Dane County, WI",31540,"Madison, WI",Metropolitan Statistical Area
55027,"Dodge County, WI",13180,"Beaver Dam, WI",Micropolitan Statistical Area
55031,"Douglas County, WI",20260,"Duluth, MN-WI",Metropolitan Statistical Area
55033,"Dunn County, WI",32860,"Menomonie, WI",Micropolitan Statistical Area
55035,"Eau Claire County, WI",20740,"Eau Claire, WI",Metropolitan Statistical Area
55037,"Florence County, WI",27020,"Iron Mountain, MI-WI",Micropolitan Statistical Area
55039,"Fond du Lac County, WI",22540,"Fond du Lac, WI",Metropolitan Statistical Area
55043,"Grant County, WI",38420,"Platteville, WI",Micropolitan Statistical Area
55045,"Green County, WI",31540,"Madison, WI",Metropolitan Statistical Area
55049,"Iowa County, WI",31540,"Madison, WI",Metropolitan Statistical Area
55055,"Jefferson County, WI",48020,"Watertown-Fort Atkinson, WI",Micropolitan Statistical Area
55059,"Kenosha County, WI",16980,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area
55061,"Kewaunee County, WI",24580,"Green Bay, WI",Metropolitan Statistical Area
55063,"La Crosse County, WI",29100,"La Crosse-Onalaska, WI-MN",Metropolitan Statistical Area
55069,"Lincoln County, WI",48140,"Wausau-Weston, WI",Metropolitan Statistical Area
55071,"Manitowoc County, WI",31820,"Manitowoc, WI",Micropolitan Statistical Area
55073,"Marathon County, WI",48140,"Wausau-Weston, WI",Metropolitan Statistical Area
55075,"Marinette County, WI",31940,"Marinette, WI-MI",Micropolitan Statistical Area
55078,"Menominee County, WI",43020,"Shawano, WI",Micropolitan Statistical Area
55079,"Milwaukee County, WI",33340,"Milwaukee-Waukesha, WI",Metropolitan Statistical Area
55083,"Oconto County, WI",24580,"Green Bay, WI",Metropolitan Statistical Area
55087,"Outagamie County, WI",11540,"Appleton, WI",Metropolitan Statistical Area
55089,"Ozaukee County, WI",33340,"Milwaukee-Waukesha, WI",Metropolitan Statistical Area
55093,"Pierce County, WI",33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area
55097,"Portage County, WI",44620,"Stevens Point, WI",Micropolitan Statistical Area
55101,"Racine County, WI",39540,"Racine, WI",Metropolitan Statistical Area
55105,"Rock County, WI",27500,"Janesville-Beloit, WI",Metropolitan Statistical Area
55109,"St. Croix County, WI",33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Metropolitan Statistical Area
55111,"Sauk County, WI",12660,"Baraboo, WI",Micropolitan Statistical Area
55115,"Shawano County, WI",43020,"Shawano, WI",Micropolitan Statistical Area
55117,"Sheboygan County, WI",43100,"Sheboygan, WI",Metropolitan Statistical Area
55127,"Walworth County, WI",48580,"Whitewater, WI",Micropolitan Statistical Area
55131,"Washington County, WI",33340,"Milwaukee-Waukesha, WI",Metropolitan Statistical Area
55133,"Waukesha County, WI",33340,"Milwaukee-Waukesha, WI",Metropolitan Statistical Area
